place,lat,long,value
COL. SAN JOSE OBRERO,-17.345985,-63.240223,60.45
COL. SAN JOSE OBRERO,-10.99754,-66.06607,27.79
COL. SAN MARTIN DE PORRES,-17.77761,-63.2021,32.12
COL. SAN MARTIN NORTE,-17.7284,-63.14275,28.94
COL. SAN PABLO,-17.836934,-63.189671,16.41
COL. SAN SILVESTRE,-17.81204,-63.11408,50.09
COL. SAN VICENTE (EX UAB),-14.8346,-64.91093,31.86
COL. SANTA RAFAELA,-17.81471,-63.14124,29.74
COL. SECCIONAL MONSEÑOR SANTIESTEVAN,-17.779588,-63.181172,19.37
COL. SEFERINO NAMUCARA DON BOSCO,-17.775253,-63.177168,6.01
COL. SIMON BOLIVAR,-17.348138,-63.258013,23.56
COL. SOCIEDAD DE INGENIEROS,-17.79882,-63.19918,17.54
COL. SOR MARIA CRISTINA PEREZ,-17.78059,-63.14532,15.56
COL. TRISTAN ROCA,-17.78412,-63.16394,19.15
COL. U.E. ELVIRA FRIAS,-17.330133,-63.250157,66.12
COL. U.E. LA RESURECCION -ESC.CONVIF,-17.7436,-63.17194,7.34
COL. U.E. MONTECRISTO,-17.34976,-63.268056,52.39
COL. UNIDAD EDUCATIVA LA COLINA,-17.81892,-63.203112,30.1
COL. UNIDAD EDUCATIVA LA ESPERANZA,-17.352619,-63.239728,43.94
COL. UNIDAD EDUCATIVA VILLA VIRGINIA,-17.338106,-63.237336,69.84
COL. UV. LA MADRE,-17.78952,-63.21101,22.34
COL. VICTOR PAZ ESTENSORO,-17.817085,-63.186614,33.42
COL. VICTOR SALVATIERRA,-17.341555,-63.253661,22.38
COL. VILLA ALEGRE,-17.87461,-63.17024,66.6
COL. VILLA BOLIVIA,-17.746412,-63.189187,22.23
COL. VILLA FATIMA,-17.81076,-63.20216,28.93
COL. VILLA ROSARIO,-17.79646,-63.2086,45.37
COL. VIRGEN DE COTOCA,-17.744453,-63.1789,17.79
COL.ADVENTISTA SANTA CRUZ,-17.73494,-63.16123,18.08
COL.ANDRES ALBERDI SALEGUI,-13.7505,-65.4307,32.37
COL.ANTONIO VICENTE SEOANE,-17.80136,-63.19352,18.35
COL.CARCEL PUBLICA,-17.874405,-63.178911,48.84
COL.CARDENAL CUSHING JESUS MARIA,-17.79161,-63.18533,16.57
COL.CENTRO APRONDY,-17.77472,-63.15873,13.48
COL.CLUB DE LEONES,-17.7902,-63.17753,24.59
COL.CLUB DE LEONES #10,-17.7902,-63.17753,12.59
COL.CNEL.CARMELO CUELLAR J.,-13.23383,-63.79037,49.54
COL.DOMINGO LEIGUE (BOLIVIANO CANADIENSE,-17.77073,-63.16274,14.04
COL.ESC.  AMSTERDAN,-17.85901,-63.14972,59.54
COL.ESC. GRAL. ISMAEL MONTES GAMBOA,-17.744658,-63.109784,45.44
COL.ESC. INOCENCIO ROMAN,-17.85023,-63.06305,60.58
COL.ESC. ROCA CORONADO,-17.83748,-63.15992,49.98
COL.ESC. TIERRAS NUEVAS EL CARMEN,-17.845092,-63.21467,50.66
COL.ESC. VIRGEN DE URKUPINA,-17.748806,-63.102413,60.57
COL.ESCUELA BOLIVIA HOLANDA,-17.86903,-63.14489,63.8
COL.ESCUELA DELCY MARTINEZ SALINAS,-17.84095,-63.15478,45.57
COL.ESCUELA EL FUERTE,-17.84582,-63.14807,50.74
COL.ESCUELA NUEVA ESPERANZA,-17.832749,-63.074306,58.39
COL.ESCUELA POLY VILLARROEL,-17.8723,-63.1315,28.89
COL.GASTON GUILLAUX,-17.778769,-63.170991,13.86
COL.INDUSTRIAL INGAVI,-15.14148,-67.03596,63.78
COL.INST. DOMINGO SAVIO,-17.75908,-63.17353,13.07
COL.KINDER FANNY ANTELO,-17.75532,-63.15987,21.95
COL.LA SANTA CRUZ,-17.76664,-63.17908,9.43
COL.LICEO MARIA VACADIEZ,-17.76587,-63.16927,9.92
COL.MANUEL ANTONIO OJOPI,-10.81322,-65.35567,32.93
COL.MODULO # 5 ELVA ANTELO JORDAN,-17.860051,-63.167451,49.28
COL.MONS.DANIEL RIVERO,-13.74378,-65.42525,38.02
COL.POLIFUNCIONAL CALAMA,-17.837183,-63.218863,48.81
COL.REPUBLICA DEL URUGUAY,-17.77493,-63.17242,13.72
COL.ROMULO HERRERA,-17.78023,-63.17609,26.51
COL.SAN FRANCISCO DE BORJA,-14.85829,-66.75023,31.67
COL.SOCRATES PARADA EGUEZ,NA,NA,58.96
COL.TECNOLOGICO SANTA CRUZ,-17.76927,-63.15675,13.1
COL.U.  E. EL DORADO NORTE,-17.73737,-63.09708,47.29
COL.U. E. CARLOS LA TORRE,-17.77396,-63.12363,23.51
COL.U. E. EL RETOÑO,-17.73956,-63.07298,39.09
COL.U. E. ESCUELA ÑUFLO DE CHAVEZ,-17.747153,-63.158578,11.43
COL.U.E. 26 DE SEPTIEMBRE,-17.72374,-63.10361,53.27
COL.U.E. ALFREDO BARBERY CHAVEZ,-17.753441,-63.117965,38.6
COL.U.E. NUEVO HORIZONTE,-17.73058,-63.10971,51.15
COL.U.E.23 DE DICIEMBRE(J.  CARLOS TRUJI,-17.76983,-63.11529,27.85
COL.UNIDAD EDUCATIVA ESPAÑA,-11.518724,-66.778062,36.98
COL.UNIDAD EDUCATIVA LORENZO CABALLERO,-17.77592,-63.11751,20.07
COL.UNIDAD EDUCATIVA SAN JORGE,-17.80008,-63.18774,66.02
COL.VENANCIO AQUINO VILLEGAS,-17.74152,-63.18151,11.63
COL.WENSESLAO MONTERO,-17.76315,-63.15583,14.03
COLEGIO  23 DE ABRIL,-17.748562,-63.14577,32.22
COLEGIO  6 DE JUNIO,-17.75763,-63.16083,16.94
COLEGIO ADELA ZAMUDIO,-17.8329,-63.17396,38.13
COLEGIO ANTONIO VACA DIEZ,-10.81294,-65.35497,33.53
COLEGIO BERTHA CUELLAR,-17.77751,-63.1344,22.29
COLEGIO CASTULO CHAVEZ,-17.77663,-63.18775,13.14
COLEGIO CUPESO DE LOS REYES,-17.82436,-63.10786,55.47
COLEGIO DOMINGO SAVIO - DON BOSCO,-17.835712,-63.199394,37.58
COLEGIO DON BOSCO,-17.79467,-63.17539,11.56
COLEGIO EDUARDO ABAROA,-11.00703,-66.06204,30.74
COLEGIO EL PROGRESO,-17.827127,-63.205757,48.34
COLEGIO ELVIRA PARADA,-17.75476,-63.12992,32.48
COLEGIO FUENTE DEL SABER,-17.872962,-63.161888,59.78
COLEGIO GUILLERMO SEARLE,-13.74432,-65.42456,37.62
COLEGIO IGNACIO WARNES,-17.86588,-63.15627,54.74
COLEGIO ISMAEL CARRASCO TELLERIA,-11.01021,-66.05402,41.42
COLEGIO JOSEFINA BALSAMO( LOS TUSEQUIS),-17.78086,-63.1523,22.38
COLEGIO JUSTO LEIGUE,-17.798734,-63.16701,12.64
COLEGIO LUZ Y VERDAD,-17.876004,-63.187236,53.17
COLEGIO MANUEL VICENTE BALLIVIAN,-10.81116,-65.35051,26.35
COLEGIO MARCELINO CHAMPAGNAT,-17.85419,-63.18896,23.05
COLEGIO MARISTA,-17.788978,-63.173047,8.86
COLEGIO MARTIN SAPP,-17.825119,-63.174668,33.98
COLEGIO NACIONAL SANTA ROSA,-14.07823,-66.78864,35.09
COLEGIO NAL. BENEMERITOS DE LA PATRIA,-17.75773,-62.99899,32.79
COLEGIO NESTOR SUAREZ,-17.81688,-63.17374,27.38
COLEGIO PLAN 4000,-17.884708,-63.175941,62.43
COLEGIO RAQUEL SOSSA,-17.770904,-63.197872,9.52
COLEGIO SAN FELIPE,-17.76667,-63.122998,43.22
COLEGIO SAN FRANCISCO,-11.00753,-66.07206,30.09
COLEGIO SAN FRANCISCO DE ASIS,-17.856931,-63.144289,47.99
COLEGIO SAN JORGE,-17.87261,-63.1956,50.42
COLEGIO SAN JUAN,-11.03188,-66.04671,45.67
COLEGIO SIMON BOLIVAR,-17.82358,-63.1228,53.88
COLEGIO TOKIO,-17.775086,-63.180055,34.75
COLEGIO VILLA GLADYS THEVENETH,-17.82021,-63.11954,56.09
COLEGIO WALTER ALPIRE DURAN,-11.01164,-66.05729,31.25
COMITE CIVICO TUMICHUCUA,-11.14738,-66.16624,34.98
DR.ELMER BOTSFORD,-10.8088,-65.35297,30.53
ESC  ALFREDO VASQUEZ,-17.07037,-63.484074,18.13
ESC LOS SAUCES I,-17.728327,-63.179549,27.58
ESC VILLA NORTE,-17.747036,-63.180383,17.67
"ESC, MARIA DE LOS ANGELES",-15.623256,-63.082425,56.2
